video_id,author,published_at,updated_at,like_count,text,Comments
LgWDRTpwjXI,@habibulla5068,2024-08-02T18:14:55Z,2024-08-02T18:14:55Z,0,দেশে শান্তি কোথায়,Where is the peace in the country?
LgWDRTpwjXI,@TajulIslam-f7e,2024-08-02T07:03:26Z,2024-08-02T07:03:26Z,0,তুমি কোন ঘরনার লোক তা বেড় করা হবে।,What kind of people are you?
LgWDRTpwjXI,@AbdulGafferSikder,2024-08-01T16:47:35Z,2024-08-01T16:47:35Z,0,কিসের সন্তান? যারা মেট্রোরেল ধংস করেছে তারা <br>জাতীয় দুশমন।,What is the child? Those who destroyed Metrorail are national enemies.
LgWDRTpwjXI,@MusharrafHossain-ft7hb,2024-08-01T16:45:58Z,2024-08-01T16:45:58Z,0,People&#39;s know the role of your father  as justice of Supreme Court during the trial of Shaikh Mujib&#39;s killing  case during BNP resigme,People's know the role of your father as justice of Supreme Court during the trial of Shaikh Mujib's killing case during BNP resigme
LgWDRTpwjXI,@AbdulGafferSikder,2024-08-01T16:44:03Z,2024-08-01T16:44:03Z,0,অবশ্যই বিশেষ উদ্দেশ্যে তোমরা কাজ করছ।,Surely you are working for a special purpose.
LgWDRTpwjXI,@rezaulkarim1226,2024-08-01T07:17:37Z,2024-08-01T07:17:37Z,0,"দেশ স্বাধীন হলে, আইন মন্রী হিসেবে দেখতে চাই উনাকে","If the country is independent, I want to see him as a law minister"
LgWDRTpwjXI,@md.shohidulalam6144,2024-07-31T19:24:01Z,2024-07-31T19:24:01Z,0,Thanks,Thank you
LgWDRTpwjXI,@MdAfcer-d5w,2024-07-31T12:59:13Z,2024-07-31T12:59:13Z,0,❤❤❤,❤❤❤
LgWDRTpwjXI,@shovanmallick4813,2024-07-31T11:15:22Z,2024-07-31T11:15:22Z,0,নতুন আতেল,New arrival
LgWDRTpwjXI,@sadiarahman2468,2024-07-31T10:49:23Z,2024-07-31T10:49:23Z,0,Right,Right
gCfQgnLTtnI,@mdabumusa4394,2024-08-01T18:49:34Z,2024-08-01T18:49:34Z,0,গনহত্যা কারী কাউয়া বিচার চাই।,Genocide killer Kaua wants justice.
gCfQgnLTtnI,@mz19747,2024-08-01T18:39:25Z,2024-08-01T18:39:25Z,0,"😮😊বিএনপি, জামাত ও অন্যান্য বিরোধী দলকে জরুরি বৈঠক ডেকে আওয়ামী লীগকে এই সপ্তাহ থেকে নিষিদ্ধ দল ঘোষণা করতে  হবে।","😮😊 Awami League should call an emergency meeting of BNP, Jamaat and other opposition parties and declare a banned party from this week."
gCfQgnLTtnI,@ahmodrasel4933,2024-08-01T00:52:19Z,2024-08-01T00:52:19Z,0,K jamat sibir 😮,K jamat sibir 😮
gCfQgnLTtnI,@ark.chen_,2024-07-31T18:18:19Z,2024-07-31T18:18:19Z,0,"ভুয়া ভুয়া বলে কি স্বৈরাচারের মুখে রামনাম,  জাতি কাওয়া চিনে কি বলতে চাও,  অভিনয় ছেড়ে নোয়াখালী চলে যাও সময় পাবে না পালাবার",What do you want to say in the face of autocracy?
gCfQgnLTtnI,@belalhaider5872,2024-07-31T09:10:33Z,2024-07-31T09:10:33Z,0,ছাত্রদের উপর গুলি করার নির্দেশ কোথা থেকে এসেছে এই তথ্যও জনগন জানতে চায়।,People also want to know where the order to shoot the students came from.
gCfQgnLTtnI,@ShakhaowatSaka,2024-07-31T06:10:14Z,2024-07-31T06:10:14Z,0,বাংলাদেশ রাজনৈতিক দেশ না গনতান্ত্রিক দেশ,Bangladesh is a political country not a democratic country
gCfQgnLTtnI,@FarukKhan-kl3tw,2024-07-31T06:01:32Z,2024-07-31T06:01:32Z,0,Jutar bari,Jutar bari
gCfQgnLTtnI,@princetuhin191,2024-07-30T23:52:28Z,2024-07-30T23:52:57Z,0,Natok ar raza thu thu,Natok ar raza thu thu
gCfQgnLTtnI,@uniqueearth8233,2024-07-30T22:39:07Z,2024-07-30T22:39:07Z,0,Amader ke o dekao,Amader ke o dekao
gCfQgnLTtnI,@kabirhussain4573,2024-07-30T18:44:05Z,2024-07-30T18:44:05Z,0,"তোর সব তথ্যও আছে,  সময় হলে টের পাবি।","You have all the information, I will get it when the time comes."
gCfQgnLTtnI,@shobujbangla7695,2024-07-30T18:39:05Z,2024-07-30T18:39:05Z,0,হি হি হি,Hee hee hee
gCfQgnLTtnI,@S.I.S.07,2024-07-30T17:43:48Z,2024-07-30T17:43:48Z,0,এই কাউয়া এত কা কা করোশ কেনো,Why is this kaua so ka ka karosh?
gCfQgnLTtnI,@mesbaulhaque2572,2024-07-30T16:04:39Z,2024-07-30T16:04:39Z,0,কাউয়া,crow
gCfQgnLTtnI,@nothing9259,2024-07-30T15:23:51Z,2024-07-30T15:23:51Z,0,Hete pagol hoye gese.,Hete pagol hoye gese.
gCfQgnLTtnI,@mdhosain7482,2024-07-30T14:07:29Z,2024-07-30T14:07:29Z,0,কাউয়া কাদের কাউ কাউ করে কেন 😅,Why is Kaua Kader Kau Kau 😅?
gCfQgnLTtnI,@MdSadek-m8e,2024-07-30T13:57:12Z,2024-07-30T13:57:12Z,0,হাসিনা করাইছে আর জামায়াতের নিষিদ্ধ হাসিনা নাটক বন্দ কর,Hasina is doing it and Jamaat has banned Hasina's drama
gCfQgnLTtnI,@MdSadek-m8e,2024-07-30T13:54:30Z,2024-07-30T13:54:30Z,0,কাওয়া কাদের জারোত সন্তান,Kawa Kader Jarot child
gCfQgnLTtnI,@raselahmed5992,2024-07-30T13:51:25Z,2024-07-30T13:51:25Z,0,কাউয়া এবার আর লাভ হবেনা। সেফুরা ডায়লক মনে আছে???,Kaua won't profit anymore. Remember Sephora Dialog???
gCfQgnLTtnI,@AlaminHossain-tr1qg,2024-07-30T13:23:51Z,2024-07-30T13:23:51Z,0,জনগণের সম্পদও নষ্ট করছে আওয়ামী লীগ। যাতে এই আন্দোলন ভিন্নখাতে নিয়ে গিয়ে গণহারে গ্রেফতার করা জায়,Awami League is also wasting people's resources. So that this movement can be taken to different areas and arrested en masse
gCfQgnLTtnI,@BiplabPaul-z6e,2024-07-30T13:20:43Z,2024-07-30T13:20:43Z,0,Sarkarer  shob  tartho  asha  jonogoner  kacha 👻,Sarkarer shob tartho asha jonogoner kacha 👻
99IeDealqUA,@JamunaTVbd,2024-07-30T10:00:52Z,2024-07-30T10:00:52Z,3,"Join WhatsApp - <a href=""https://whatsapp.com/channel/0029VakgKm5LdQeemosdqc0F"">https://whatsapp.com/channel/0029VakgKm5LdQeemosdqc0F</a>","Join WhatsApp - <a href=""https://whatsapp.com/channel/0029VakgKm5LdQeemosdqc0F"">https://whatsapp.com/channel/0029VakgKm5LdQeemosdqc0F</a>"
99IeDealqUA,@hafizabusayedofficial9282,2024-08-01T18:23:14Z,2024-08-01T18:23:14Z,0,ভাইয়ের কথা শুনে ভাল লাগল,Good to hear from my brother
99IeDealqUA,@md.abulkalamazad5865,2024-08-01T08:39:21Z,2024-08-01T08:39:21Z,1,"সত্যের জয় একদিন হবেই, আর কতকাল দাবিয়ে রাখবেন যুব সমাজকে। দোয়া এবং আশীর্বাদ রইল আপনারা সবাই এগিয়ে যান।","Truth will win one day, and how long will the youth demand. Prayers and blessings to you all moving forward."
99IeDealqUA,@shafiqurrahman4562,2024-08-01T08:00:20Z,2024-08-01T08:01:35Z,0,👍👍👍👌🌹🌹🌹<br>Jamuna tv গণমানুষের প্রাণের টিভি❤❤❤,👍👍👍👌🌹🌹🌹<br>Jamuna tv is the TV of people's lives❤❤❤
99IeDealqUA,@financialmarketresearch7776,2024-08-01T04:51:28Z,2024-08-01T04:51:28Z,0,"Restaurant turned into Hotel, which has small weapon in offer. Harun Uncle showed the weapon.","Restaurant turned into Hotel, which has small weapon in offer. Uncle Harun showed the weapon."
99IeDealqUA,@ayeshabegum7911,2024-07-30T16:59:05Z,2024-07-30T16:59:05Z,0,"শান্তি ফিরে পাক আমার সোনার বাংলা। I want justice ⚖️ 😢 I want a safer Bangladesh for my children and future generations. Security cctv installing is safety on site.. Razakar families are still involve in corruption and criminal activities. I&#39;m still suffering from the Razakar and  families harassment.<br>আপনি যেই দলই করেন না কেনো, সেটা আপনার ব্যক্তিগত পছন্দ।<br>কিন্তু ন্যায়কে ন্যায় আর অন্যায়কে অন্যায় বলার সৎ সাহস থাকতে হবে।✊🔥শান্তি ফিরে পাক আমার সোনার বাংলা। I want justice ⚖️ 😢 I want a safer Bangladesh for my children and future generations. Security cctv installing is safety on site. Razakar Moyob tikadar chairman family is shajhan Ahmed,  Saleh Ahmod kamal Ahmod Majel Ahmed dilara Begum and family are still involve in corruption and criminal activities. Sylhet SI Minto Choudary","May peace return to my golden bangla. I want justice ⚖️ 😢 I want a safer Bangladesh for my children and future generations. Security cctv installing is safety on site.. Razakar families are still involved in corruption and criminal activities. I&#39;m still suffering from the Razakar and families harassment.<br>Whichever party you join, it is your personal choice.<br>But you have to have the honest courage to call justice justice and injustice to injustice. ✊🔥Peace back my Sonar Bangla. I want justice ⚖️ 😢 I want a safer Bangladesh for my children and future generations. Security cctv installing is safety on site. Razakar Moyob tikadar chairman family is shajhan Ahmed, Saleh Ahmod kamal Ahmod Majel Ahmed dilara Begum and family are still involved in corruption and criminal activities. Sylhet SI Minto Choudary"
99IeDealqUA,@skcardio5650,2024-07-30T15:05:03Z,2024-07-30T15:05:03Z,0,স্বর্গ বিলাসে অন্ধ হয়ে সাধারণ মানুষের সাথে মশকরা করতে করতে সীমান্ত ক্রশ করে ফেলেছে,"Blinded by heaven's luxury, it has crossed the border to flirt with the common man"
99IeDealqUA,@RakibHasan-g5l,2024-07-30T12:23:22Z,2024-07-30T12:23:22Z,0,সাংবাদিক ভাইয়েরা আইনজীবীর সাথে  ফটর ফটর  সাংবাদিক ভাইদের মুখ দিয়ে এক এক জনের খৈ ফুটতেছে । <br>কিন্তু স্বরাষ্ট্র মন্ত্রী কাছে গিয়ে একজন এত বেশি প্রশ্ন করতে পারছে না কেন,Journalist brothers and lawyers are getting angry one by one. <br>But why can't one approach the Home Minister and ask so many questions
99IeDealqUA,@thepeacea1227,2024-07-30T10:47:47Z,2024-07-30T10:47:47Z,0,😂😂😂😂😂,😂😂😂😂😂
99IeDealqUA,@thepeacea1227,2024-07-30T10:47:35Z,2024-07-30T10:47:35Z,0,BNP nonsense😂😂😂,BNP nonsense😂😂😂
99IeDealqUA,@arimdadul.h9064,2024-07-30T10:46:06Z,2024-07-30T10:46:06Z,0,এখন মানুষ বুঝে গেছে একাত্তরের ঘাতক কারা,Now people understand who the killers of 71 are
99IeDealqUA,@AlamiHosen-j2y,2024-07-30T10:46:03Z,2024-07-30T10:46:03Z,0,আপনাদের মত  সাহসী আইনজীবীদের স্যালুট জানাই বাংলাদেশের মানুষ আপনাদেরকে মনে রাখবেন ইনশাল্লাহ।,"I salute brave lawyers like you, people of Bangladesh will remember you inshallah."
99IeDealqUA,@alkamalwafi5713,2024-07-30T10:44:58Z,2024-07-30T10:44:58Z,0,জেগে উঠো বাংলার প্রতিটি নাগরিক প্লিজ,Wake up every citizen of Bengal please
99IeDealqUA,@wowkidz3608,2024-07-30T10:43:39Z,2024-07-30T10:43:39Z,0,Ki poriman mental torture korsw sara apa k,Ki poriman mental torture korsw sara apa k
99IeDealqUA,@SaifulIslam-u4k5q,2024-07-30T10:41:55Z,2024-07-30T10:41:55Z,0,না হয় হারুনের টুনটুনির ছবি ভাইরাল হলো কেনো,Or why Haroon's photo of Tuntuni went viral
99IeDealqUA,@shihabhossain5902,2024-07-30T10:40:47Z,2024-07-30T10:40:47Z,0,উকিল সাহেব আপনাদের কাছে অনুরোধ আপনারাই পারেন এই অসহায়  ছাত্র-ছাত্রীদেরকে রক্ষা করতে। আল্লাহ আপনাদের সহায় হোক।,"Mr. Lawyer, I request you to protect these helpless students. May Allah help you."
99IeDealqUA,@SleepyCrow-ty2ce,2024-07-30T10:39:30Z,2024-07-30T10:39:30Z,0,"Boykot,remetens","Boycott, remetens"
99IeDealqUA,@hmikbalmahmud5868,2024-07-30T10:37:51Z,2024-07-30T10:37:51Z,0,হারুন ভাই এর টুনটুনি নাকি ভাইরাল হয়েছে,Harun Bhai's rant has gone viral
99IeDealqUA,@dowlathossain670,2024-07-30T10:37:12Z,2024-07-30T10:37:12Z,0,😂😂😂😂,😂😂😂😂
99IeDealqUA,@ryhanhosain8413,2024-07-30T10:35:15Z,2024-07-30T10:35:15Z,0,@stepdownhasina,@stepdownhasina
l_sQ8ls-iQA,@JamunaTVbd,2024-07-30T10:00:01Z,2024-07-30T10:00:01Z,8,"Join WhatsApp - <a href=""https://whatsapp.com/channel/0029VakgKm5LdQeemosdqc0F"">https://whatsapp.com/channel/0029VakgKm5LdQeemosdqc0F</a>","Join WhatsApp - <a href=""https://whatsapp.com/channel/0029VakgKm5LdQeemosdqc0F"">https://whatsapp.com/channel/0029VakgKm5LdQeemosdqc0F</a>"
l_sQ8ls-iQA,@bapidas4063,2024-08-06T09:56:26Z,2024-08-06T09:56:26Z,0,Bd radical what will done?,Bd radical what will done?
l_sQ8ls-iQA,@fairfieldrealty8081,2024-08-04T12:40:45Z,2024-08-04T12:40:45Z,0,These are BNP lawyers.,These are BNP lawyers.
l_sQ8ls-iQA,@aadiaron,2024-08-02T20:53:45Z,2024-08-02T20:56:44Z,0,বর্তমান প্রজন্ম এই আইনজীবির বাপকে না চিনলেও আমরা চিনি আইনজীবীর বাপ কে😂😂,"Even though the current generation does not know the father of this lawyer, we know the father of the lawyer"
l_sQ8ls-iQA,@malarehman9400,2024-08-01T12:28:09Z,2024-08-01T12:28:09Z,0,Apu R bhaye.Apnider kiamot pojonto manush monirakbe 😢,Apu R bhaye.Apnider kiamot pojonto manush monirakbe 😢
l_sQ8ls-iQA,@MdSojon-e3t,2024-08-01T11:49:11Z,2024-08-01T11:49:11Z,0,❤❤❤,❤❤❤
l_sQ8ls-iQA,@habibsarker240,2024-08-01T02:59:15Z,2024-08-01T02:59:15Z,0,"রাইট, জিয়ার আমলে মুক্তিযুদ্বাদের মেরেছে কোথায় ছিলেন আপনি,","Wright, where were you during the freedom struggle during Zia's era?"
l_sQ8ls-iQA,@MdRamjan-l5x,2024-08-01T02:20:30Z,2024-08-01T02:20:30Z,0,আপনাদের পেয়ে আমরা গর্বিত।,We are proud to have you.
l_sQ8ls-iQA,@redwanislam4112,2024-08-01T00:00:40Z,2024-08-01T00:00:40Z,0,❤❤❤,❤❤❤
l_sQ8ls-iQA,@MDRaselkholifa-o9d,2024-07-31T17:46:44Z,2024-07-31T17:46:44Z,0,ভালো,good
l_sQ8ls-iQA,@mdrohulamin6560,2024-07-31T17:29:04Z,2024-07-31T17:29:04Z,0,স্যালুট স্যার আপনাদেরকে <br>দেশটাকে রক্ষা করুন স্যার প্লীজ,Salute sir please protect your country sir
l_sQ8ls-iQA,@saleemalam1240,2024-07-31T14:22:05Z,2024-07-31T14:26:27Z,0,"এই কথাগুলা এখন আপনাদের কষ্ট লাগতেছে, এক সময় এরা অন্যদেরকে বলছে,তখন আপনাদের মত লোকেরা তাদেরকে বাহবা দিছেন।অতীত মনে করলে বুঝতে পারবেন।<br>এজন্য অন্যদের উপরে কেউ যদি অত্যাচার করে, চুপ থাকতে হয় না। প্রতিবাদ করতে হয়।এখন নিজেদের উপরে আসছে, এখন মনে হয় উপলব্ধি করতে পারতেছেন।","These words are bothering you now, once they were telling others, then people like you praised them. If you think about the past, you will understand. <br>Therefore, if someone is oppressing others, there is no need to remain silent. Have to protest. Now coming over themselves, now seems to be able to understand."
l_sQ8ls-iQA,@chonchalhossen3671,2024-07-31T12:47:36Z,2024-07-31T12:47:36Z,0,komedi okil,comedy okil
l_sQ8ls-iQA,@Faruque_hossain-n1m,2024-07-31T07:55:51Z,2024-07-31T07:55:51Z,0,😢😢❤❤❤💪💪💪,😢😢❤❤❤💪💪💪
l_sQ8ls-iQA,@tuhinahmed6825,2024-07-31T05:51:28Z,2024-07-31T05:51:28Z,0,🙂🙂,🙂🙂
l_sQ8ls-iQA,@Dalyvillagefishvlog1102,2024-07-31T04:21:47Z,2024-07-31T04:21:47Z,0,দেশ এখনো ধংস হয়ে যায়নি ভালো লাগলো এমন আইনজীবী ও  দেশপ্রেমিক নাগরিক এখনও পর্যন্ত আছে । আলহামদুলিল্লাহ ।,"The country has not yet been destroyed, it is good that there are still lawyers and patriotic citizens. Alhamdulillah."
l_sQ8ls-iQA,@abulkhair4857,2024-07-31T01:39:55Z,2024-07-31T01:39:55Z,0,"নিভে&#39;জাল ছাত্রদের অরাজনৈতিক কোটা আন্দোলনে  পুলিশ, বিজিবি, ছাত্র লীগ,যুবলীগের ত্রিমুখী পৈশাচিক বব্ব&#39;তা নিবি&#39;চার গুলিতে ছাত্র নিহত, শোকে-ক্ষোভে -দ্রোহের আগুনে রাস্তায় দল-মত নিবি&#39;শেষে ছাত্র জনতা আবাল বৃদ্ধ বনিতা।দমন পীড়নে আকাশে হেলিকপ্টার  নিচে সাজোয়া যান। মহু&#39;মুহু&#39; গুলি টিয়ার শেল  সাউন্ড গ্রেনেড  রক্তাক্ত আহত নিহত  আমাদের  কারো ভাই ,কারো পিতা কারো স্বামী কারো বুকের ধন একমাত্র সন্তান ।রক্তে লাল  রাস্তার  কালো পিচ, মায়ের আচলের সবুজের মাঠ। কারা  এই  ঘাতক ক্রীতদাস ? দেখি তাদের মুখে পৈশাচিক হাসি এরা স্বদেশী নাকি  ভিনদেশী?একি  রক্ত পিপাসু দানব কতৃক অবরুদ্ধ ফিলিস্তিন-গাজা নাকি কাশ্মীর ? স্মরণে আসে সেই ৭১ সাল এমনি ছিল পাকহানাদারদের কাজ।একি  ত্রিশ লাখ শহীদের রক্ত, হাজার মা-বোনের  ইজ্জতে কেনা আমার স্বাধীন বাংলাদেশ? ভাবতে বড়  কষ্ট  হয়  আজ।","In the non-political quota movement of students, police, BGB, student league, jubilee three-pronged demonic mobs killed students, in grief-anger - in the fire of treason, the students died in groups in the streets. Old Bonita. Go under the helicopter in the sky under pressure. Muhu' Muhu' Bullets, tear shells, sound grenades, bloody, injured, killed, our someone's brother, someone's father, someone's husband, the treasure of someone's chest, the only child. The black pitch of the road is red in blood, the green ground of mother's movement. Who are these murderous slaves? I see the demonic smile on their faces. Are they native or foreigner? A bloodthirsty monster. How many besieged Palestine-Gaza or Kashmir? Remember that year 71 was the work of Pak invaders. The blood of one thirty lakh martyrs, the honor of thousands of mothers and sisters bought my independent Bangladesh? It is hard to think today."
l_sQ8ls-iQA,@salimahmedlondon8321,2024-07-30T22:51:25Z,2024-07-30T22:51:25Z,0,"অনেক বাংলা সিনেমা দেখেছি যেখানে সাবানা হুট করে আইনজীবী হয়ে যায় সন্তান বা স্বামীর প্রয়োজনে। মানজুর আল মাতিনকে মূলত সবাই চিনে নিউজ প্রেজেন্টার বা উপস্থাপক হিসেবে। অথচ যখন দেশের প্রয়োজন হলো, নিজের আইনী পোশাকটা লাগিয়ে তিনি দাঁড়িয়ে গেলেন স্টুডেন্টদের পক্ষে, দেশের পক্ষে! যারা তাকে নিউজ প্রেজেন্টার হিসেবে দেখে অভ্যস্ত - সবার কাছে ব্যাপারটা বাংলা সিনেমার মতই মনে হওয়ার কথা! জীবনের গল্প মাঝেমধ্যে সিনেমার গল্পকেও হার মানায়। মানজুর আমাদের সেটাই দেখিয়ে দিলেন। ❤️","I have seen many Bengali movies where Sabana suddenly becomes a lawyer for the need of a child or a husband. Manzoor Al Mateen is basically known as a news presenter. But when the country needed it, he put on his legal clothes and stood up for the students, for the country! Those who are used to seeing him as a news presenter - it should seem like a Bengali movie! Life stories sometimes beat movie stories. Manjur showed us that. ❤️"
l_sQ8ls-iQA,@Tahasinafatema,2024-07-30T20:31:21Z,2024-07-30T20:31:21Z,0,আমাদের হিরা🇧🇩🙏🇧🇩,Our diamond🇧🇩🙏🇧🇩
l_sQ8ls-iQA,@hujaifabinsayed6901,2024-07-30T20:01:57Z,2024-07-30T20:01:57Z,0,সাব্বাস ভাই খুব ভালো লাগলো ❤,"Hello bro, it was very nice"
PPR-zrNI2vU,@AfifaJahan-n4s,2024-08-01T03:40:34Z,2024-08-01T03:40:34Z,0,😢😢,😢😢
PPR-zrNI2vU,@Bluesky-uw8fy,2024-08-01T03:07:19Z,2024-08-01T03:07:19Z,0,অত্যাচারীর হাতে নিরপত্যা লাভের আশায়,Hoping to gain safety at the hands of the oppressor
PPR-zrNI2vU,@MdAfcer-d5w,2024-07-31T16:01:59Z,2024-07-31T16:01:59Z,0,😢😢😢😢😢,😢😢😢😢
PPR-zrNI2vU,@raselmia-ju1ft,2024-07-30T10:03:06Z,2024-07-30T10:03:06Z,0,অনেত ধন্যবাদ,Thank you very much
PPR-zrNI2vU,@সময়চিত্রচ্যানেল,2024-07-30T10:01:37Z,2024-07-30T10:01:37Z,0,সময় শেষ তাই ফড়িং উরছে,Time is up so the grasshoppers are flying
PPR-zrNI2vU,@moniraparvin3633,2024-07-30T09:59:20Z,2024-07-30T09:59:20Z,0,সারা বাংলাদেশের  লোক এক হন। অত্যাচার রুখে দাঁড়ান।,All the people of Bangladesh are united. Stand up to oppression.
PPR-zrNI2vU,@khadijasumi5841,2024-07-30T09:47:18Z,2024-07-30T09:47:18Z,0,জনগণকে এখনও  বোকা ভাবতেছে      ফেরাউনের দলেরা।আল্লার মাইর  কি রকম সেটা তাদের আন্দাজ নাই,Pharaoh's party still thinks people are fools. They have no idea what Allah's Mair is like
PPR-zrNI2vU,@mdmosharofhossain2625,2024-07-30T09:29:50Z,2024-07-30T09:29:50Z,0,🔴,🔴
PPR-zrNI2vU,@LuckyAktter-n6n,2024-07-30T09:26:22Z,2024-07-30T09:26:22Z,0,Thank you ❤❤❤,Thank you ❤❤❤
PPR-zrNI2vU,@mithuahmed7793,2024-07-30T09:22:38Z,2024-07-30T09:22:38Z,0,আপনাকে হাজার হাজার সালাম মেডাম,Thousands of greetings to you madam
PPR-zrNI2vU,@islamicvoicebdofficial,2024-07-30T09:19:25Z,2024-07-30T09:19:25Z,0,😭😭😭💔💔,😭😭😭💔💔
PPR-zrNI2vU,@SHAHALAM-o7d,2024-07-30T09:00:31Z,2024-07-30T09:00:31Z,0,ডিবি হারুনের আন্তর্জাতিক আদালতে মামলা দায়ের করা হোক।,Loading...
PPR-zrNI2vU,@mdsobuzislam2588,2024-07-30T09:00:00Z,2024-07-30T09:00:00Z,0,Tik bolcen apa,Tik bolcen apa
PPR-zrNI2vU,@soharabahmed6732,2024-07-30T08:59:46Z,2024-07-30T08:59:46Z,0,এটাই সঠিক ঘটনা আরডিবি হারুন এবং আসল চরিত্র উন্মোচন,This is the real story of RDB Harun and the real character reveal
PPR-zrNI2vU,@jubairhosain5331,2024-07-30T08:57:26Z,2024-07-30T08:57:26Z,0,"Bangladesh <a href=""http://www.youtube.com/results?search_query=%23tranding"">#tranding</a>","Bangladesh <a href=""http://www.youtube.com/results?search_query=%23tranding"">#tranding</a>"
PPR-zrNI2vU,@NazmulHasan-vy6ce,2024-07-30T08:56:14Z,2024-07-30T08:56:14Z,0,আপনাদের ধন্যবাদ,thank you
PPR-zrNI2vU,@USER1701-g4l,2024-07-30T08:55:20Z,2024-07-30T08:55:20Z,0,ডিবি কার্যালয়ে হাসপাতালের চাইতে বেশি সুরক্ষা দেয়া হয় 😆,DB offices are given more security than hospitals 😆
PPR-zrNI2vU,@najminjahan.3468,2024-07-30T08:53:50Z,2024-07-30T08:53:50Z,0,Thank you mam,Thank you mom
PPR-zrNI2vU,@nazrulislam3787,2024-07-30T08:51:54Z,2024-07-30T08:51:54Z,0,❤❤,❤❤
PPR-zrNI2vU,@lokman451,2024-07-30T08:48:45Z,2024-07-30T08:48:45Z,0,thanks madam for disclose the truth,Thanks madam for disclosing the truth
nivLb7c5h5w,@masterpiece1504,2024-07-30T20:41:27Z,2024-07-30T20:43:09Z,0,এদের মদ্দে পেধানমনএী কেটা হপে।😂😂😂😂,Who cares about them. 😂😂😂😂
nivLb7c5h5w,@ArNa-g7q,2024-07-30T17:53:00Z,2024-07-30T17:53:00Z,0,Take love all.member,Take love all.member
nivLb7c5h5w,@ArNa-g7q,2024-07-30T17:52:06Z,2024-07-30T17:52:06Z,0,Jomuna always on fire👍🔴,Jomuna always on fire👍🔴
nivLb7c5h5w,@sismohammad4893,2024-07-30T13:56:51Z,2024-07-30T13:56:51Z,0,সৌরাচার নিপাত জাক গনতন্ত্ব মুক্তি পাক,Sourachar Nipat Jak public freedom
nivLb7c5h5w,@rannaghour9632,2024-07-30T12:10:35Z,2024-07-30T12:10:35Z,0,"পুলিশ চাকর ,তা চাকর হওয়ার জন্য আন্দোলন করলো কেন?",Why did the police protest to become a servant?
nivLb7c5h5w,@bd2024s,2024-07-30T10:09:28Z,2024-07-30T10:09:28Z,0,thank you ❤❤,thank you ❤❤
nivLb7c5h5w,@shahidashabrin408,2024-07-30T10:03:23Z,2024-07-30T10:03:23Z,0,পুলিশ সংবিধানের আইন তো মানে না,The police do not obey the laws of the constitution
nivLb7c5h5w,@abidulislamsefat1793,2024-07-30T09:58:51Z,2024-07-30T09:58:51Z,0,তীব্র নিন্দা জানাচ্ছি।,Strongly condemned.
nivLb7c5h5w,@shohanurrahman7693,2024-07-30T09:58:32Z,2024-07-30T09:58:32Z,0,কার কাছ থেকে অনুমতি নেবে যাদের বিরুদ্ধে আন্দোলন,Movement against whom to take permission from
nivLb7c5h5w,@AzizurRahman-s7e,2024-07-30T09:45:18Z,2024-07-30T09:45:18Z,0,যে খানে গণঅভ্যুত্থানের সেই খানে কিসের অনুমতি।,What is allowed where there is a mass uprising?
nivLb7c5h5w,@arifislam8646,2024-07-30T09:43:09Z,2024-07-30T09:43:09Z,0,দেখেন আপনারা এই সরকারের অবদান,You see the contribution of this government
